2026-02-13 07:23:24 | FileSystemWatcher | INFO | Watching drop folder: C:\Users\User\Desktop\AI_Drop
2026-02-13 07:23:24 | FileSystemWatcher | INFO | Starting FileSystemWatcher (interval=5s, vault=D:\Hackathon-0 Q4\AI_Employee_Vault)
2026-02-13 07:23:24 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:23:29 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:23:34 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:23:39 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:23:44 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:23:49 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:23:54 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:23:59 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:04 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:09 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:14 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:19 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:24 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:29 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:34 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:39 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:44 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:49 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:54 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:24:59 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:25:04 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:25:09 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:25:14 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:25:19 | FileSystemWatcher | INFO | Found 1 new item(s)
2026-02-13 07:25:20 | FileSystemWatcher | INFO | File copied: test_invoice.txt -> Needs_Action\files\20260213_022520_test_invoice.txt
2026-02-13 07:25:20 | FileSystemWatcher | INFO | Action file created: Needs_Action\files\20260213_022520_test_invoice.md
2026-02-13 07:25:20 | FileSystemWatcher | INFO | Original removed from drop folder: test_invoice.txt
2026-02-13 07:25:25 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:25:30 | FileSystemWatcher | DEBUG | No new updates
2026-02-13 07:25:35 | FileSystemWatcher | DEBUG | No new updates
